#,Sample flow data,,
#,,,
#,Make sure the site id's match the row labels in the catchment area file.,,
#,,,
,1001,1002,1003a
1/01/1950,-99.99,-99.99,-99.99
2/01/1950,-99.99,-99.99,-99.99
3/01/1950,-99.99,-99.99,-99.99
4/01/1950,-99.99,-99.99,-99.99
5/01/1950,-99.99,-99.99,-99.99
6/01/1950,-99.99,-99.99,-99.99
7/01/1950,-99.99,-99.99,-99.99
8/01/1950,-99.99,-99.99,-99.99
9/01/1950,-99.99,-99.99,-99.99
10/01/1950,-99.99,-99.99,-99.99
11/01/1950,-99.99,-99.99,-99.99
12/01/1950,-99.99,-99.99,-99.99
13/01/1950,-99.99,-99.99,-99.99
14/01/1950,-99.99,-99.99,-99.99
15/01/1950,-99.99,-99.99,-99.99
16/01/1950,-99.99,-99.99,-99.99
17/01/1950,-99.99,-99.99,-99.99
18/01/1950,-99.99,-99.99,-99.99
19/01/1950,-99.99,-99.99,-99.99
20/01/1950,-99.99,-99.99,-99.99
21/01/1950,-99.99,-99.99,-99.99
22/01/1950,-99.99,-99.99,-99.99
23/01/1950,-99.99,-99.99,-99.99
24/01/1950,-99.99,-99.99,-99.99
25/01/1950,-99.99,-99.99,-99.99
26/01/1950,-99.99,-99.99,-99.99
27/01/1950,-99.99,-99.99,-99.99
28/01/1950,-99.99,-99.99,-99.99
29/01/1950,-99.99,-99.99,-99.99
30/01/1950,-99.99,-99.99,-99.99
31/01/1950,-99.99,-99.99,-99.99
1/02/1950,-99.99,-99.99,-99.99
2/02/1950,-99.99,-99.99,-99.99
3/02/1950,-99.99,-99.99,-99.99
4/02/1950,-99.99,-99.99,-99.99
5/02/1950,-99.99,-99.99,-99.99
6/02/1950,-99.99,-99.99,-99.99
7/02/1950,-99.99,-99.99,-99.99
8/02/1950,-99.99,-99.99,-99.99
9/02/1950,-99.99,-99.99,-99.99
10/02/1950,-99.99,-99.99,-99.99
11/02/1950,-99.99,-99.99,-99.99
12/02/1950,-99.99,-99.99,-99.99
13/02/1950,-99.99,-99.99,-99.99
14/02/1950,-99.99,-99.99,-99.99
15/02/1950,-99.99,-99.99,-99.99
16/02/1950,-99.99,-99.99,-99.99
17/02/1950,-99.99,-99.99,-99.99
18/02/1950,-99.99,-99.99,-99.99
19/02/1950,-99.99,-99.99,-99.99
20/02/1950,-99.99,-99.99,-99.99
21/02/1950,-99.99,-99.99,-99.99
22/02/1950,-99.99,-99.99,-99.99
23/02/1950,-99.99,-99.99,-99.99
24/02/1950,-99.99,-99.99,-99.99
25/02/1950,-99.99,-99.99,-99.99
26/02/1950,-99.99,-99.99,-99.99
27/02/1950,-99.99,-99.99,-99.99
28/02/1950,-99.99,-99.99,-99.99
1/03/1950,-99.99,-99.99,-99.99
2/03/1950,-99.99,-99.99,-99.99
3/03/1950,-99.99,-99.99,-99.99
4/03/1950,-99.99,-99.99,-99.99
5/03/1950,-99.99,-99.99,-99.99
6/03/1950,-99.99,-99.99,-99.99
7/03/1950,-99.99,-99.99,-99.99
8/03/1950,-99.99,-99.99,-99.99
9/03/1950,-99.99,-99.99,-99.99
10/03/1950,-99.99,-99.99,-99.99
11/03/1950,-99.99,-99.99,-99.99
12/03/1950,-99.99,-99.99,-99.99
13/03/1950,-99.99,-99.99,-99.99
14/03/1950,-99.99,-99.99,-99.99
15/03/1950,-99.99,-99.99,-99.99
16/03/1950,-99.99,-99.99,-99.99
17/03/1950,-99.99,-99.99,-99.99
18/03/1950,-99.99,-99.99,-99.99
19/03/1950,-99.99,-99.99,-99.99
20/03/1950,-99.99,-99.99,-99.99
21/03/1950,-99.99,-99.99,-99.99
